Code,Long Name,Income Group,Region,Lending category,Other groups,Currency Unit,Latest population census,Latest household survey,Special Notes,National accounts base year,National accounts reference year,System of National Accounts,SNA price valuation,Alternative conversion factor,PPP survey years,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data,2-alpha code,WB-2 code,Table Name,Short Name
BLZ,Belize,Lower middle income,Latin America & Caribbean,IBRD,,Belize dollar,2020 (expected),"Multiple Indicator Cluster Survey, 2015/16",,2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Labor force survey (LFS), 1999",,2011,1992,2018,2000,BZ,BZ,Belize,Belize
BEN,Republic of Benin,Lower middle income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2013,"Demographic and Health Survey, 2017/18",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1992,,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015",,,1981,2018,,BJ,BJ,Benin,Benin
BOL,Plurinational State of Bolivia,Lower middle income,Latin America & Caribbean,IBRD,HIPC,Bolivian Boliviano,2012,"Demographic and Health Survey, 2008",,1990,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1960–85,2011,BPM6,Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2013,2010,2018,2009,BO,BO,Bolivia,Bolivia
BIH,Bosnia and Herzegovina,Upper middle income,Europe & Central Asia,IBRD,,Bosnia and Herzegovina convertible mark,2013,"Multiple Indicator Cluster Survey, 2011/12",,Original chained constant price data are rescaled.,2015,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2015",Yes,,2011,2018,2013,BA,BA,Bosnia and Herzegovina,Bosnia and Herzegovina
BWA,Republic of Botswana,Upper middle income,Sub-Saharan Africa,IBRD,,Botswana pula,2011,Family Health Survey 2007-2008,,2006,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2015/16",,2015,2013,2018,2000,BW,BW,Botswana,Botswana
BRA,Federative Republic of Brazil,Upper middle income,Latin America & Caribbean,IBRD,,Brazilian real,2020 (expected),"National Health Survey, 2013",,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Integrated household survey (IHS), 2016",Yes,2006,2013,2018,2010,BR,BR,Brazil,Brazil
BGR,Republic of Bulgaria,Upper middle income,Europe & Central Asia,IBRD,,Bulgarian lev,2011,Multitopic Household Survey 2007,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),"1978–89, 1991–92",Rolling,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Expenditure survey/budget survey (ES/BS), 2014",Yes,2010,2014,2018,2013,BG,BG,Bulgaria,Bulgaria
BFA,Burkina Faso,Low income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2019,"Malaria Indicator Survey, 2017/18",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1992–93,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,2006-2010,1983,2018,2005,BF,BF,Burkina Faso,Burkina Faso
BDI,Republic of Burundi,Low income,Sub-Saharan Africa,IDA,HIPC,Burundi franc,2008,"Demographic and Health Survey, 2016/17",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Estimate,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2014",,,2012,2018,2000,BI,BI,Burundi,Burundi
KHM,Kingdom of Cambodia,Lower middle income,East Asia & Pacific,IDA,,Cambodian riel,2019,"Demographic and Health Survey, 2020",,2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2012",,2013,2000,2016,2006,KH,KH,Cambodia,Cambodia
CMR,Republic of Cameroon,Lower middle income,Sub-Saharan Africa,Blend,HIPC,Central African CFA franc,2020 (expected),"Malaria Indicator Survey, 2020/21",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2014",,,2002,2017,2000,CM,CM,Cameroon,Cameroon
CAN,Canada,High income,North America,,,Canadian dollar,2016,,Fiscal year end: March 31; reporting period for national accounts data: CY.,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Labor force survey (LFS), 2013",Yes,2016,2014,2018,2009,CA,CA,Canada,Canada
CAF,Central African Republic,Low income,Sub-Saharan Africa,IDA,HIPC,Central African CFA franc,2003,"Multiple Indicator Cluster Survey, 2018/19",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2008",,,1993,2017,2005,CF,CF,Central African Republic,Central African Republic
TCD,Republic of Chad,Low income,Sub-Saharan Africa,IDA,HIPC,Central African CFA franc,2009,"Multiple Indicator Cluster Survey, 2019",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2011",,,,1995,2005,TD,TD,Chad,Chad
CHL,Republic of Chile,High income,Latin America & Caribbean,IBRD,,Chilean peso,2017,,,Original chained constant price data are rescaled.,2013,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,,General trade system,,Special Data Dissemination Standard Plus (SDDS Plus),"Integrated household survey (IHS), 2017",Yes,2007,2013,2018,2006,CL,CL,Chile,Chile
CHN,People's Republic of China,Upper middle income,East Asia & Pacific,IBRD,,Chinese yuan,2020 (expected),"National Sample Survey on Population Changes, 2014","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",2015,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),1978–93,2011,BPM6,Preliminary,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2015",,2016,2007,2018,2013,CN,CN,China,China
COL,Republic of Colombia,Upper middle income,Latin America & Caribbean,IBRD,,Colombian peso,2018,"Demographic and Health Survey, 2015",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1992–94,2011,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",,2015,2012,2018,2008,CO,CO,Colombia,Colombia
COM,Union of the Comoros,Lower middle income,Sub-Saharan Africa,IDA,HIPC,Comorian franc,2017,"Demographic and Health Survey, 2012",,2007,,Country uses the 2008 System of National Accounts methodology,Value added at producer prices (VAP),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2013",,,,2013,1999,KM,KM,Comoros,Comoros
COG,Republic of Congo,Lower middle income,Sub-Saharan Africa,Blend,HIPC,Central African CFA franc,2020 (expected),"Multiple Indicator Cluster Survey, 2014/15",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at producer prices (VAP),1993,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011",,2014-2015,2009,2017,2002,CG,CG,"Congo, Rep.",Congo
CRI,Republic of Costa Rica,Upper middle income,Latin America & Caribbean,IBRD,,Costa Rican colon,2011,"Multiple Indicator Cluster Survey, 2018",,Original chained constant price data are rescaled.,2017,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,2014,2013,2018,2013,CR,CR,Costa Rica,Costa Rica
CIV,Republic of Côte d'Ivoire,Lower middle income,Sub-Saharan Africa,IDA,HIPC,West African CFA franc,2020 (expected),"Multiple Indicator Cluster Survey, 2016",,2015,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2015",,2014-2015,1997,2018,2005,CI,CI,Côte d'Ivoire,Côte d'Ivoire
HRV,Republic of Croatia,High income,Europe & Central Asia,IBRD,,Croatian kuna,2011,"World Health Survey, 2003",,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,"2010. Economic Census, Natural Resources Census, Livestock Census, Livestock and Aquaculture Census or Sample Agricultural Census.",1996,2018,2013,HR,HR,Croatia,Croatia
CZE,Czech Republic,High income,Europe & Central Asia,,,Czech koruna,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003",,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2013,2018,,CZ,CZ,Czech Republic,Czech Republic
COD,Democratic Republic of the Congo,Low income,Sub-Saharan Africa,IDA,HIPC,Congolese franc,,"Multiple Indicator Cluster Survey, 2017/18",,2005,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1999–2001,2011,BPM6,Actual,,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"1-2-3 survey (1-2-3), 2012/13",,,,,2005,CD,ZR,"Congo, Dem. Rep.",Dem. Rep. Congo
DNK,Kingdom of Denmark,High income,Europe & Central Asia,,,Danish krone,2011. Population figures compiled from administrative registers.,,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,2012,DK,DK,Denmark,Denmark
DJI,Republic of Djibouti,Lower middle income,Middle East & North Africa,IDA,,Djibouti franc,2020 (expected),"Multiple Indicator Cluster Survey, 2006",,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Priority survey (PS), 2017",,,,2009,2000,DJ,DJ,Djibouti,Djibouti
DOM,Dominican Republic,Upper middle income,Latin America & Caribbean,IBRD,,Dominican peso,2020 (expected),"Multiple Indicator Cluster Survey, 2019",,Original chained constant price data are rescaled.,2007,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2016",,2015,1984,2017,2010,DO,DO,Dominican Republic,Dominican Republic
ECU,Republic of Ecuador,Upper middle income,Latin America & Caribbean,IBRD,,U.S. dollar,2020 (expected),"Reproductive Health Survey, 2004",,2007,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2018",,,2008,2018,2005,EC,EC,Ecuador,Ecuador
EGY,Arab Republic of Egypt,Lower middle income,Middle East & North Africa,IBRD,,Egyptian pound,2017,"Health Issues Survey, 2015",Fiscal year end: June 30; reporting period for national accounts data: FY for years 1980 and after. The data from 1973 to 1979 are calendar year data.,2016/17,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Special Data Dissemination Standard (SDDS),"Expenditure survey/budget survey (ES/BS), 2015",Yes,2009-2010,2012,2018,2010,EG,EG,"Egypt, Arab Rep.",Egypt
SLV,Republic of El Salvador,Lower middle income,Latin America & Caribbean,IBRD,,U.S. dollar,2007,"Multiple Indicator Cluster Survey, 2014",,Original chained constant price data are rescaled.,2014,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,2007-2008,1998,2018,2005,SV,SV,El Salvador,El Salvador
EST,Republic of Estonia,High income,Europe & Central Asia,,Euro area,Euro,"2012. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.","World Health Survey, 2003","The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1987–95,Rolling,BPM6,,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,2010,2014,2018,2014,EE,EE,Estonia,Estonia
SWZ,Kingdom of Eswatini,Lower middle income,Sub-Saharan Africa,IBRD,,Swazi lilangeni,2017,"Multiple Indicator Cluster Survey, 2014",Fiscal year end: March 31; reporting period for national accounts data: CY. Authorities revised national accounts from 1999 to 2015.,2011,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2009/10",,,2011,2017,2000,SZ,SZ,Eswatini,Eswatini
ETH,Federal Democratic Republic of Ethiopia,Low income,Sub-Saharan Africa,IDA,HIPC,Ethiopian birr,2020 (expected),"Socioeconomic Survey 2018-2019, Interim Demographic and Health Survey, 2019",Fiscal year end: July 7; reporting period for national accounts data: FY.,2015/2016,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM5 (Converted into BPM6 by IMF),Actual,General trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Expenditure survey/budget survey (ES/BS), 2015/16",,,2014,2016,2016,ET,ET,Ethiopia,Ethiopia
FIN,Republic of Finland,High income,Europe & Central Asia,,Euro area,Euro,2020 (expected). Population figures compiled from administrative registers.,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,2006,FI,FI,Finland,Finland
FRA,French Republic,High income,Europe & Central Asia,,Euro area,Euro,2016,,"The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,2012,FR,FR,France,France
GAB,Gabonese Republic,Upper middle income,Sub-Saharan Africa,IBRD,,Central African CFA franc,2013,"Demographic and Health Survey, 2019/20",,2001,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1993,2011,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS)/Integrated household survey (IHS), 2017",,,1995,2009,2005,GA,GA,Gabon,Gabon
GEO,Georgia,Upper middle income,Europe & Central Asia,IBRD,,Georgian lari,2014,"Multiple Indicator Cluster Survey, 2018","Includes self-governed areas only, which mostly exclude Abkhazia and South Ossetia, but small areas in Abkhazia and South Ossetia are included before 2008 or 2009 because of the changes in self-governed areas.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1990–95,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2017",Yes,2014,2013,2018,2008,GE,GE,Georgia,Georgia
DEU,Federal Republic of Germany,High income,Europe & Central Asia,,Euro area,Euro,2011. Population figures compiled from administrative registers and sample surveys while data on housing characteristics are collected through full field enumeration.,,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard Plus (SDDS Plus),"Income survey (IS), 2015",Yes,2010,2014,2018,2010,DE,DE,Germany,Germany
GHA,Republic of Ghana,Lower middle income,Sub-Saharan Africa,IDA,HIPC,New Ghanaian cedi,2020 (expected),"Malaria Indicator Survey, 2019",,2013,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1973–87,2011,BPM6,Estimate,General trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2017",,,2003,2018,2000,GH,GH,Ghana,Ghana
GRC,Hellenic Republic,High income,Europe & Central Asia,,Euro area,Euro,2011,,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2015",Yes,2009,2013,2018,2007,GR,GR,Greece,Greece
GTM,Republic of Guatemala,Upper middle income,Latin America & Caribbean,IBRD,,Guatemalan quetzal,2018,"Demographic and Health Survey, 2014/15",,Original chained constant price data are rescaled.,2013,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,Budgetary central government,Enhanced General Data Dissemination System (e-GDDS),"Living Standards Measurement Study Survey (LSMS), 2014",Yes,,1988,2017,2006,GT,GT,Guatemala,Guatemala
GIN,Republic of Guinea,Low income,Sub-Saharan Africa,IDA,HIPC,Guinean franc,2014,"Malaria Indicator Survey, 2021",,Original chained constant price data are rescaled.,2010,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",,,,2015,2001,GN,GN,Guinea,Guinea
GUY,Co-operative Republic of Guyana,Upper middle income,Latin America & Caribbean,IDA,HIPC,Guyana dollar,2012,"Multiple Indicator Cluster Survey, 2019/20",,2012,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,,BPM6,Actual,Special trade system,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 1998",,,,2018,2010,GY,GY,Guyana,Guyana
HTI,Republic of Haiti,Lower middle income,Latin America & Caribbean,IDA,HIPC,Haitian gourde,2003,"Demographic and Health Survey, 2016/17",Fiscal year end: September 30; reporting period for national accounts data: FY.,2011/12,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),1991,2011,BPM5 (Converted into BPM6 by IMF),Actual,,,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2012",,2008-2009,,,2009,HT,HT,Haiti,Haiti
HND,Republic of Honduras,Lower middle income,Latin America & Caribbean,IDA,HIPC,Honduran lempira,2013,"Multiple Indicator Cluster Survey, 2019",,2000,,Country uses the 1993 System of National Accounts methodology,Value added at basic prices (VAB),1988–89,2011,BPM5 (Converted into BPM6 by IMF),Actual,Special trade system,Consolidated central government,Enhanced General Data Dissemination System (e-GDDS),"Integrated household survey (IHS), 2017",,,1996,2017,2003,HN,HN,Honduras,Honduras
HUN,Hungary,High income,Europe & Central Asia,,,Hungarian forint,2011,"World Health Survey, 2003",,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2014",Yes,2010,2013,2018,2012,HU,HU,Hungary,Hungary
ISL,Republic of Iceland,High income,Europe & Central Asia,,,Iceland krona,"2011. Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys.",,,Original chained constant price data are rescaled.,2015,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,Rolling,BPM6,,Special trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Income survey (IS), 2014",Yes,2010,2005,2018,2014,IS,IS,Iceland,Iceland
IND,Republic of India,Lower middle income,South Asia,IBRD,,Indian rupee,2011,"Demographic and Health Survey, 2019/20",Fiscal year end: March 31; reporting period for national accounts data: FY.,2011,,Country uses the 2008 System of National Accounts methodology,Value added at basic prices (VAB),,2011,BPM6,Actual,General trade system,Consolidated central government,Special Data Dissemination Standard (SDDS),"Integrated household survey (IHS), 2011/12",,2010-2011,2014,2018,2010,IN,IN,India,India
